importer_id,name,eta_days,pick_up_location,freight_forwarder,order_frequency,notes,laid_in_per_bottle
14584,Andrew Will Wines,21,Washington,SMT,as_needed,,1
14555,Barnard Griffin,21,Washington,SMT,as_needed,,1
14226,Gramercy,21,Washington,SMT,as_needed,,1
14222,Antica Terra,21,Oregon,SMT,as_needed,,1
14232,Harper Voit,21,Oregon,SMT,as_needed,,1
14562,Illahe,21,Oregon,SMT,as_needed,,1
14566,Nicolas-Jay,21,Oregon,SMT,as_needed,,1
33031,Northwest Wine Co.,21,Oregon,SMT,as_needed,,1
14231,Walter Scott,21,Oregon,SMT,as_needed,,1
1878,Ant Moore,90,New Zealand,Hillebrand,quarterly,Direct Import New Zealand Full Containers,0
4789,Allura Wine,21,New Jersey,Dist Trans,monthly,,0.88
26628,Altos Las Hormigas,21,New Jersey,Dist Trans,monthly,,0.88
23164,Bolle,21,New Jersey,Dist Trans,as_needed,,0.88
1765,Broadbent Selections,21,New Jersey,Dist Trans,bi_weekly,,0.88
382,Grand Cru Selections,21,New Jersey,Dist Trans,as_needed,,0.88
3180,Grandes Places Selections,21,New Jersey,Dist Trans,as_needed,,0.88
17468,JDH Selections,21,New Jersey,Dist Trans,as_needed,,0.88
8261,JL Chave,21,New Jersey,Dist Trans,as_needed,,0.88
10523,Thatcher's Imports,21,New Jersey,Dist Trans,as_needed,,0.88
1883,The Sorting Table,21,New Jersey,Dist Trans,as_needed,,0.88
12372,Twins,21,New Jersey,Dist Trans,as_needed,,0.88
2474,Giuliana Imports,7,Colorado,Advantage,weekly,,0.88
25904,Accendo Cellars,14,California,SMT,as_needed,,0.54
26925,Ad Ripa,14,California,SMT,as_needed,,0.54
28015,Aperture,14,California,SMT,monthly,,0.54
14223,Aperture Cellars,14,California,SMT,monthly,,0.54
14224,Arietta,14,California,SMT,as_needed,,0.54
25905,Ashes & Diamonds,14,California,SMT,as_needed,,0.54
14124,Bella Oaks,14,California,SMT,as_needed,,0.54
7769,Brazos Imports,14,California,SMT,bi_weekly,,0.54
14228,Caraccioli,14,California,SMT,as_needed,,0.54
14229,Carter,14,California,SMT,as_needed,,0.54
32800,Chosen Family Wines,14,California,SMT,monthly,,0.54
14230,Corison,14,California,SMT,as_needed,,0.54
39895,Covert Estate,14,California,SMT,as_needed,,0.54
14233,Di Costanzo,14,California,SMT,as_needed,,0.54
1295,Domaine Co.,14,California,SMT,as_needed,,0.54
14234,Dunn,14,California,SMT,as_needed,,0.54
32799,Emerson Brown,14,California,SMT,as_needed,,0.54
14235,Emerson Brown Wines,14,California,SMT,as_needed,,0.54
405,Enos Vineyards,14,California,SMT,as_needed,,0.54
39894,Fayard Wines,14,California,SMT,as_needed,,0.54
35340,Frog's Leap,14,California,SMT,bi_weekly,,0.54
14237,Gabriel-Glas,14,California,SMT,as_needed,,0.54
1600,German Wine Collection,14,California,SMT,as_needed,,0.54
14238,Goldschmidt,14,California,SMT,as_needed,,0.54
14561,Gray Randolph,14,California,SMT,as_needed,,0.54
29469,GRW,14,California,SMT,as_needed,,0.54
14240,Halcon,14,California,SMT,as_needed,,0.54
14122,Hirsch,14,California,SMT,as_needed,,0.54
38343,Hirsch Vineyards,14,California,SMT,as_needed,,0.54
540,Ian Brand,14,California,SMT,as_needed,,0.54
28278,IBG,14,California,SMT,bi_weekly,,0.54
388,Jack Edwards Collection,14,California,SMT,as_needed,,0.54
14557,Jolie-Laide,14,California,SMT,as_needed,,0.54
14125,Kinsman,14,California,SMT,as_needed,,0.54
34119,Kinsman Wine,14,California,SMT,as_needed,,0.54
387,"Kysela Pere et Fils, LTD",14,California,SMT,as_needed,,0.54
1882,Latta,14,California,SMT,as_needed,,0.54
37914,Latta Wines,14,California,SMT,as_needed,,0.54
14563,Law Estate,14,California,SMT,as_needed,,0.54
35472,Law Estate Wines,14,California,SMT,as_needed,,0.54
4212,Legend Imports,14,California,SMT,as_needed,,0.54
14320,LIOCO,14,California,SMT,as_needed,,0.54
14427,Makk,14,California,SMT,as_needed,,0.54
1006,Martine's Wines,14,California,SMT,bi_weekly,,0.54
14558,Matthiasson,14,California,SMT,as_needed,,0.54
14565,Mayacamas,14,California,SMT,as_needed,,0.54
1886,McPrice Myers,14,California,SMT,monthly,,0.54
4069,Monte Rio,14,California,SMT,as_needed,,0.54
11362,Montinore,14,California,SMT,monthly,,0.54
14560,Mount Eden,14,California,SMT,as_needed,,0.54
8429,North Berkeley,14,California,SMT,bi_weekly,,0.54
9996,Now Wine,14,California,SMT,as_needed,,0.54
44582,Occidental,14,California,SMT,as_needed,,0.54
14567,Once & Future,14,California,SMT,as_needed,,0.54
8669,Park Street Imports,14,California,SMT,as_needed,,0.54
29730,Parr,14,California,SMT,as_needed,,0.54
14568,Pax,14,California,SMT,as_needed,,0.54
14569,Paydirt,14,California,SMT,as_needed,,0.54
9901,Pisoni Family,14,California,SMT,as_needed,,0.54
22555,Rajat Parr,14,California,SMT,as_needed,,0.54
14570,Rhys,14,California,SMT,as_needed,,0.54
1880,Rootdown,14,California,SMT,as_needed,,0.54
33030,Rose & Arrow,14,California,SMT,as_needed,,0.54
2136,Sake One,14,California,SMT,as_needed,,0.54
18907,Scale,14,California,SMT,as_needed,,0.54
14556,Scar of the Sea,14,California,SMT,as_needed,,0.54
14227,Scarlett,14,California,SMT,as_needed,,0.54
12473,Scheid,14,California,SMT,as_needed,,0.54
17982,Smidge Beverage Co.,14,California,SMT,as_needed,,0.54
14571,Sojourn,14,California,SMT,as_needed,,0.54
1889,Stolpman,14,California,SMT,as_needed,,0.54
45801,Susurrus,14,California,SMT,as_needed,,0.54
14290,Tatomer,14,California,SMT,as_needed,,0.54
12472,Tensley,14,California,SMT,as_needed,,0.54
14239,TRB,14,California,SMT,as_needed,,0.54
40323,Truchard Vineyards,14,California,SMT,as_needed,,0.54
1881,True North,14,California,SMT,bi_weekly,,0.54
14123,Tyler,14,California,SMT,monthly,,0.54
2904,Ultraviolet/Poe Wines,14,California,SMT,as_needed,,0.54
